,movie,year,rutime,imdb_rating,meta_data,vote,us_gross_worth
0,Tenet,2020,129,7.8,69,131170,45.1
1,One Flew Over the Cuckoo's Nest,1975,129,8.7,83,899646,112.0
2,The Gentlemen,2019,129,7.9,51,192390,
3,Knives Out,2019,129,7.9,82,400001,165.36
4,Harry Potter and the Sorcerer's Stone,2001,129,7.6,64,633095,317.58
5,Joker,2019,129,8.5,59,879335,335.45
6,Halloween,1978,129,7.8,87,224621,47.0
7,Once Upon a Time... In Hollywood,2019,129,7.6,83,519389,142.5
8,Avengers: Endgame,2019,129,8.4,78,770394,858.37
9,Parasite,2019,129,8.6,96,490781,53.37
10,The Shining,1980,129,8.4,66,876121,44.02
11,Jojo Rabbit,2019,129,7.9,58,265868,0.35
12,The Shawshank Redemption,1994,129,9.3,80,2293018,28.34
13,Interstellar,2014,129,8.6,74,1465986,188.02
14,The Silence of the Lambs,1991,129,8.6,85,1242879,130.74
15,The Nightmare Before Christmas,1993,129,8.0,82,287250,75.08
16,The Dark Knight,2008,129,9.0,84,2258076,534.86
17,Hamilton,2020,129,8.7,90,43391,
18,The Wolf of Wall Street,2013,129,8.2,75,1150939,116.9
19,The Godfather,1972,129,9.2,100,1582791,134.97
20,Blade Runner 2049,2017,129,8.0,81,446435,92.05
21,Fargo,1996,129,8.1,85,604559,24.61
22,Inception,2010,129,8.8,74,2020144,292.58
23,Back to the Future,1985,129,8.5,87,1034779,210.61
24,Ford v Ferrari,2019,129,8.1,81,264467,117.62
25,1917,2019,129,8.3,78,375830,159.23
26,The Exorcist,1973,129,8.0,81,356070,232.91
27,The Lord of the Rings: The Fellowship of the Ring,2001,129,8.8,92,1628454,315.54
28,Pulp Fiction,1994,129,8.9,94,1790752,107.93
29,Spider-Man: Into the Spider-Verse,2018,129,8.4,87,343120,190.24
30,Titanic,1997,129,7.8,75,1027889,659.33
31,Se7en,1995,129,8.6,65,1412118,100.13
32,Thor: Ragnarok,2017,129,7.9,74,570060,315.06
33,Mad Max: Fury Road,2015,129,8.1,90,862275,154.06
34,The Peanut Butter Falcon,2019,129,7.6,70,56806,13.12
35,The Goonies,1985,129,7.8,62,239620,61.5
36,Zodiac,2007,129,7.7,78,450216,33.08
37,The Matrix,1999,129,8.7,73,1642033,171.48
38,Ghostbusters,1984,129,7.8,71,348956,238.63
39,Little Women,2019,129,7.8,91,127072,108.1
40,Goodfellas,1990,129,8.7,90,998297,46.84
41,The Dark Knight Rises,2012,129,8.4,78,1489714,448.14
42,Alien,1979,129,8.4,89,773534,78.9
43,Harry Potter and the Goblet of Fire,2005,129,7.7,81,534346,290.01
44,Gladiator,2000,129,8.5,67,1315676,187.71
45,Gone Girl,2014,129,8.1,79,839352,167.77
46,Watchmen,2009,129,7.6,56,494022,107.51
47,Get Out,2017,129,7.7,85,477002,176.04
48,Fight Club,1999,129,8.8,66,1818194,37.03
49,Pride & Prejudice,2005,129,7.8,82,250983,38.41
